message,vader_sentiment,textblob_sentiment,final_sentiment
@Romeo CHARLIE Your ancestors were spanish invaders right?,neutral,positive,positive
we revolted to get 🇬🇧 off the news,neutral,neutral,neutral
BULL SH..,neutral,neutral,neutral
no. let's be clear. 🗿🟥 red is not normal right now-,positive,positive,positive
WE ARE AWAITING TAPED PLAYBACK OF TRUMP'S COMMENTS AT THE KENNEDY CENTER THAT WERE FROZEN,neutral,negative,negative
nothing is normal,neutral,positive,positive
let's talk about the elephant in the room: Iran,neutral,neutral,neutral
This guy is an alpha male,neutral,neutral,neutral
Israel’s interest you mean ✡️,positive,negative,negative
mayor admits gang war but it's not gangs dying. sanctuary Washington,negative,neutral,negative
"Yep, retired, just took my meds",positive,neutral,positive
L-ucifer from Iran I bet... doesn't understand English well,negative,neutral,negative
Trump is a warmonger,negative,neutral,negative
I had fish and chips at the mcintyre arena coffee shop for lunch Mmmm 😋:goat-turquoise-white-horns::trophy-yellow-smiling::face-fuchsia-poop-shape::face-red-heart-shape:,neutral,neutral,neutral
"Please amigos, don’t let them separate my family ❤️🙏🏻 let me stay in US 🙏🏻",positive,neutral,positive
@livenow from fox thanks,positive,positive,positive
America First.. Because It's Our Country... M A G A BABY,neutral,positive,positive
of course we jews invented globalism,neutral,neutral,neutral
rogueusa is not usa sanction immediately rogueisrael wanted for war crimes too,negative,neutral,negative
Pero amigas en Mexico son hermosa las Amo a las mujeres de Mexico.,neutral,neutral,neutral
normal is Illinois red and everyone else blue,neutral,positive,positive
MAKE YEMEN GLASS AGAIN,neutral,neutral,neutral
The Houti's have BIDENS money he gave to IRAN,neutral,neutral,neutral
"old old history class, remember the ""RE conquista"".. akak po'd spanish christians",neutral,positive,positive
Illinois is lost,negative,neutral,negative
Are you a rapist Boogernaught? (@Juggernaut ) huh huh huh,negative,neutral,negative
Thank you Pete.,positive,neutral,positive
The US homeland is not in the Middle East,neutral,neutral,neutral
"My great ancestors settled Scotland in 12,000BC. My people came from Scotland and were thrown out and replaced by sheep when the taters died. They were surfs/slaves.",positive,positive,positive
"Trump protecting American interests, no more no less.",positive,negative,negative
Illinois cant lose,positive,neutral,positive
Proizvodstvo 🤓 vedu discussii,negative,neutral,negative
"Please amigos, let me stay in US, do not deport me ❤️🙏🏻",positive,neutral,positive
@Ancipital YOU'RE WELCOME,positive,positive,positive
Trump is Israel's first America and doesn't have any business in the red sea leave them Houthis alone anytime you hear America first think Israel,negative,positive,negative
"they live jihad like war , so they won't quit",negative,positive,negative
illegals from 140 countries flooded our open border in last 4 yrs alone,negative,neutral,negative
"COFFEE, IRISH WISKEY, SHEPHERDS PIE",neutral,neutral,neutral
Ignorance is the nerve of war. Take a book cherry boy,negative,neutral,negative
relieve yourself,positive,neutral,positive
"Thanks fox moderator man, you're cool",positive,positive,positive
cubes for small hats and smelts,neutral,negative,negative
my SACRAL is SAFE* & FORBIDDEN lol,positive,positive,positive
"I hit the 👍🏻 button, who else has???",neutral,neutral,neutral
That's what I said w,neutral,neutral,neutral
HOW ARE YOU ENDING WARS BY FUNDING ISRAEL WITH MORE WARFARE AND DOING IT WITH OUR TAX DOLLARS??,negative,neutral,negative
remove churchill bust from fascistusa oval office,neutral,neutral,neutral
they wouldnt let Illinois lose they would just rig it they aren't going to just paint Everything red🗿,positive,neutral,positive
Yet you cant find Russian spy in the energy dept or Russian at the borders,positive,neutral,positive
THE GULF OF AMERICA,neutral,neutral,neutral
I OWN THE GLASS🍀🍀🍀🍀,neutral,neutral,neutral
Houtis go boom boom,neutral,neutral,neutral
I love you fox news.,positive,positive,positive
"thing is, we have legal migrants from the americas so no excuse to illegally rush the border",positive,negative,negative
"All our ancestors were invaders. All cultures throughout history were robbed of their land, language, culture, and independence by greed.",negative,neutral,negative
Need an hour with this Pentagon guy to understand what's happening everywhere,neutral,neutral,neutral
Cutter,neutral,neutral,neutral
hooties bring sticks and rocks to fight,negative,neutral,negative
This moment needs a soundtrack… I love creating those,positive,positive,positive
"Juggernaut, just do it the legal way? Or do better at not getting caught.",positive,positive,positive
"Boom boom boom boom, no nukes are in my room>>>",negative,neutral,negative
eu china canada mexico japan brazil will defend the free world from now on,positive,positive,positive
the grinch?,neutral,neutral,neutral
@PeekaPeep is shy,negative,negative,negative
show us the film general,neutral,positive,positive
"One day ago , I talked about Houthi rebels...and yesterday , The US launched 4 strikes against houthis rebels.",negative,neutral,negative
GULF OF DEPORTATION,neutral,neutral,neutral
ARREST HILLARY 🤤,negative,negative,negative
New camo! Vaddy nice,positive,positive,positive
No more gay dudes,negative,positive,negative
can we please go back to jews at the pentagon?,positive,neutral,positive
"Make me a slave, I work for free, just do not deport me please ❤️🙏🏻",positive,positive,positive
here we go!,neutral,neutral,neutral
"Gotta love Republicans, the party of wars",positive,positive,positive
testosterone zone in this CHAT,neutral,neutral,neutral
RIP,neutral,neutral,neutral
HOUTHI HOO!!!,neutral,neutral,neutral
@Bleu Lazerou The usa has averaged 1 million legal immigrants per year throughout its history.,positive,positive,positive
DIDDYCRATS LOST,negative,neutral,negative
"Come in legally like my grandparents did, become American, know the pledge of Allegiance, no one has the Freedoms to trample our Sovereignty",positive,positive,positive
Such a fine general,positive,positive,positive
why so serious,negative,negative,negative
"Desi, do yoy think you're psychically controlling U.S. military operations with your thoughts? loo",neutral,negative,negative
I don't even have rhe ability to interfere with your life 🧬,positive,neutral,positive
I know lots...who cares? no-one,positive,neutral,positive
"In Texas they still hang the thieves of horses, without trial?",negative,neutral,negative
"TOOTY FRUITY, OH HOUTHI! WOO!!!",positive,neutral,positive
"Military has sent out the get out letters, to the gender benders.",neutral,negative,negative
rogueusa rogueisrael russia----->axis of evil,negative,negative,negative
So if Houthis weren't in Yemen we still be at war with them right,negative,positive,negative
@PeekaPeep hootie hooo william,neutral,neutral,neutral
WE WENT LIVE AT THE UNITED STATES COAST GUARD FACILITY CHICAGO ILLINOIS CALUMET PARK,positive,positive,positive
Always comes down to Iran,neutral,neutral,neutral
No terrorists will ever be tolerated,positive,neutral,positive
the official Pentagon lobby music is Heroes: Music of Courage & Strength if you guys wanted to add your own soundtrack,positive,neutral,positive
"oh geez ,would you look at that? stock market improving. what a shock",positive,neutral,positive
PATEL,neutral,neutral,neutral
Always come up in Chicago in an arab strip,neutral,neutral,neutral
wee la care ahhhhh,positive,neutral,positive
how can you appoint a mentally ill hack like Trump for president?,negative,negative,negative
Americans do not like this mean trump administration Biden did fire at Houthis but he left then alone and didn't kill Houthis like trump administration did these people killing people over a ship,negative,negative,negative
"Understanding this rock music, being a pothead",neutral,neutral,neutral
"don't get angry , it makes you look irresponsible",negative,negative,negative
WE DON'T NEGOTIATE WITH TERRORISTS!!!! 💯🇺🇲💪🏻,positive,neutral,positive
Mohammed graped a child,neutral,neutral,neutral
Can we take over Iran already?,neutral,neutral,neutral
Remember 1979?,neutral,neutral,neutral
what's the over-under on Iran getting bombed within the next 30 days,neutral,neutral,neutral
Of course they did bombs ant kewl sitting on a shelf,positive,neutral,positive
remember when nonsense gave a sht,negative,neutral,negative
PATEL LEANS IT TOWARD HEVEN,neutral,neutral,neutral
"Iran go boom boom, end of problem, tap that new American energy, Iran Glory Hole USA",positive,positive,positive
bro it's 1979 in that arab strip,neutral,neutral,neutral
Iran pretty big to go to war with,negative,positive,negative
Ilovemusic,neutral,neutral,neutral
Things are coming to a head. Watch for the Final Crusade.,neutral,neutral,neutral
isn't it crazy how much Americans claim about a president putting Americans first? how awful huh?,negative,negative,negative
3-16-2025 WE WENT LIVE AT THE UNITED STATES COAST GUARD FACILITY CHICAGO ILLINOIS CALUMET PARK,positive,positive,positive
We don't support trump administration look what he did to Americans he stole our money and want us to believe he is America first,negative,positive,negative
I love broccoli,positive,positive,positive
Caucasians will get a rude walk into slavery,negative,negative,negative
Chem dengi ot premaushoj vremstvi,neutral,neutral,neutral
@Fake Name. 💯% 👍🏻👍🏻👍🏻,neutral,neutral,neutral
TRUMP WON THE POPULAR VOTE,positive,positive,positive
@FAKE NAME I don't think Israel will wait 30 days before bombing Iran.,neutral,neutral,neutral
dicktator trump threatening free media soveriegnty of nations--->sanction rogueusa,neutral,positive,positive
my friend PeekaPeep is going to join chat then there will be 2 PeekaPeeps in chat,positive,neutral,positive
I never stand with losing side.,positive,neutral,positive
dinky Dow Diddy mouse,neutral,neutral,neutral
DEPORT,neutral,neutral,neutral
Again the law of who has the biggest gun. Far far far west....,negative,positive,negative
I love my country and the one defending our rights...,positive,positive,positive
Is the DOD employees getting laid off too,neutral,neutral,neutral
America FIRST. America only.,neutral,positive,positive
SEVENTHEAVEN,neutral,neutral,neutral
US always defends it's country in other countries lol,positive,positive,positive
Doing something incredibly rockin' 💪,neutral,positive,positive
eu un stand up to this pariah state grow a pair,neutral,neutral,neutral
Arabs are peaceful in Chicago and I'm glad that upsets people who makes my coffee is MY homeland I don't care if they call me a liberal get offended I'm a WHITE liberal,neutral,positive,positive
isn't it crazy how some Americans complain and hate that our president is putting Americans first? so awful that is eh? nonsensical hateful people over on the dems side,negative,negative,negative
"DOD shows up to work, so no",negative,neutral,negative
Americans stand with Palestinians Mexicans Venezuelans Blacks Khalil Ukrainians Canadians Panama Denmark we don't like oppressors no to oppressors yes to oppress we stand with you,positive,neutral,positive
will pak share the bom with Iran,positive,neutral,positive
Hey IRAN…FAFO,neutral,neutral,neutral
Git it USNAVY PILOTS 👊🏼☹⚓✈,neutral,neutral,neutral
3-16-2025 WE WENT LIVE AT THE UNITED STATES COAST GUARD FACILITY CHICAGO ILLINOIS CALUMET PARK.,positive,positive,positive
Americans do not stand with ARABS,neutral,neutral,neutral
We must fight over there or we fight over here and we already have the democrats so,negative,neutral,negative
"Please amigo, do not deport me 🙏🏻",positive,neutral,positive
fire it up ✡️ d down for what?!?!,negative,neutral,negative
GITMO,neutral,neutral,neutral
Pillows are a significant oart o zit,positive,positive,positive
cbs News Democratic run State media,neutral,neutral,neutral
is there a minimum age requirement to chat?,neutral,neutral,neutral
"WONT TO ONE, JST ONLY & ALEL",neutral,neutral,neutral
IRAN already FA lets let them FO now,neutral,neutral,neutral
Does the echo last the entire time?,neutral,neutral,neutral
American military casulties?,neutral,negative,negative
"HEY IRAN, YPYL HAHAHAHA!!!",neutral,positive,positive
👊🏼🇺🇸⚓✈ Go NAVY GIT IT,neutral,neutral,neutral
Iran is not Houthis tho so why they keep saying Iran back Houthis..... Houthis are Yemen,neutral,neutral,neutral
The entire world will praise USA for taking over IRAN,positive,neutral,positive
I SEEN IT MYSELF ALL LIES,negative,neutral,negative
Pakistan is also paying a big price.... Tremendous terrorist attacks are being taken place in Pakistan.,negative,positive,negative
I talk to North Texas that's my operation,neutral,neutral,neutral
I always go into the chat when I’m on the throne,neutral,neutral,neutral
@Butthead FACT!!! 💯💯💯💯,neutral,neutral,neutral
How about cannabeans,neutral,neutral,neutral
meaning I respect and admire the one making it possible,positive,neutral,positive
"All Palestinians, all those in Detroit. Chicago, Go home, I know there are cells You have no idea what these people are capable of",positive,positive,positive
💪💪💪💪💪😘,positive,neutral,positive
@cyreun Palestinians Mexicans Venezuelans Blacks Khalil Ukrainians Canadians Panama Denmark citizens were all born to server their lesser gods from the usa.,neutral,neutral,neutral
Get out illegals or you will be in El Salvador prisons lol,positive,positive,positive
"Hey Iran, , thanks for playing",positive,positive,positive
"terrorist trump//./ the turnip king..,",negative,neutral,negative
I think he is talking abt the houthi casualities,neutral,neutral,neutral
@Robert H. 🙏🏻 MAGA POWER huh hu huh,neutral,neutral,neutral
Navy vet here who deployed to Afghanistan. Biden's withdrawal process took away all our sacrifices and processes we had in place for stability. He made it all a waste.,negative,negative,negative
"SHIFT CHNGE, SEND 🌊🌊🌊",neutral,neutral,neutral
canada panama denmark sovereignty all threatened repeatedly by dicktator trump us media threatened by crooked doj these are all sanction worthy by UN,negative,positive,negative
USS Truman was bombed so people definitely died but they are ashamed of themselves,negative,neutral,negative
WE'LL BE THERE AGAIN THIS WHOLE SUMMER,positive,positive,positive
Please do not send me back home 🙏🏻,positive,neutral,positive
"Until you know the Arab mind, never be fooled",positive,neutral,positive
all i hear is 2 minute breaks and andy talking about the problems,negative,neutral,negative
Then don’t do the e briefing until you do,neutral,neutral,neutral
The band come on man,neutral,neutral,neutral
Egg ChaCha Music,neutral,neutral,neutral
Right when it got spicy we take a break...,neutral,positive,positive
@cyreun Palestinians Mexicans Venezuelans Blacks Khalil Ukrainians Canadians Panama Denmark citizens were all born to serve their lesser gods from the usa.,neutral,neutral,neutral
@Juggernaut GITMO,neutral,neutral,neutral
ufo,neutral,neutral,neutral
UK TOOK THEIR TURN ON HOUTHI A WHILE BACK. USNAVY ROCK THE KASBAH 👊🏼🇺🇸⚓✈🖕🏼HOUTHI,neutral,neutral,neutral
If I get bored sostouazhe ot otnosheniya shag,negative,negative,negative
why kill people and create hatred makes no damn sense,negative,neutral,negative
"I work just for the food, but please do not deport me 🙏🏻",positive,neutral,positive
"Pakistan , which is a hub of terrorism , itself faces terrorism. :face-blue-smiling::face-blue-smiling: Balochi rebels hijacked a train in Pakistan.",negative,neutral,negative
I sleep on the floor.,neutral,neutral,neutral
Break in the middle of press conference L,positive,neutral,positive
until you know Chicago isnt OLD chicago let that sink in what OLD chicago meant too,neutral,positive,positive
I’ve been in bed for hours,neutral,neutral,neutral
"A chicken will become cheaper than an egg, that's logical, right?",neutral,negative,negative
THEY FORGET WE CAN WATCH FOREGIGN NEWS. BABIES WERE KILLED BY TRUMP,negative,negative,negative
lu the geyyyy,neutral,neutral,neutral
they go to commercial break when controversial questions are asked,negative,positive,negative
UK end up with starmer you :goat-turquoise-white-horns:,neutral,neutral,neutral
1-2 chachacha totally works,neutral,neutral,neutral
SEA FIVE? SENDEN LUV UR WAY,neutral,neutral,neutral
Hey everyone :hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving:,neutral,neutral,neutral
diarhea cha cha cha,neutral,neutral,neutral
@Juggernaut de de deported,neutral,neutral,neutral
The Bible is clear to be the voice for voiceless Feed the poor take care of widow and orphans...we don't support the oppressors like Israel Russia Trump we support the judges doing their jobs,positive,negative,negative
Please T Zon Guantanamo nonnnn 🙏🏻🙏🏻,positive,neutral,positive
gey move fox,neutral,neutral,neutral
"Which came first, the 🐔 or the 🥚???",neutral,positive,positive
@Janine Thomas Koran 2:191: 'Kill them wherever you encounter them.'Koran 3:28 'Muslims must not take the infidels as friends.'Koran 3:85 'Any religion other than Islam is not acceptable.',negative,neutral,negative
"I know Chicago better than you Lu, I know Arabs better and I have seen more… let it sink in they will kill you in a heartbeat",neutral,positive,positive
I believe in Moses.,neutral,neutral,neutral
wake up people...speak with your minds...not out.of your asses,neutral,neutral,neutral
"@Juggernaut si senor , GITMO for you",neutral,neutral,neutral
wait the marine band are they going to play or no,positive,neutral,positive
Please lolidoom non deport me please I am begging you 🙏🏻,positive,neutral,positive
im a senator from Maine,neutral,neutral,neutral
3 2 1…Yemen will Uber ships through the channel for free.,positive,positive,positive
"They never lived here, kuda to sluzhbanitadruzhbi",neutral,neutral,neutral
cyreun wants an islamic caliphate let them all in open borders give them our churches,neutral,positive,positive
Melissa are you?,neutral,neutral,neutral
Jewish people believe in Moses and Christian people believe in Jesus Christ.,neutral,neutral,neutral
@cyreun no MAGA all those other countries are trash,negative,neutral,negative
Nancy is pro russia invasion on Brazil.,neutral,neutral,neutral
I speak fluent Houti,neutral,neutral,neutral
Americans stand down no joining oppressors like Israel or Trump or Russia we rebuke them. We respect the judges it's their job to keep trump in check. Trump can't do as he wants. Three equal branches,positive,positive,positive
"More than 2,000 Ukrainian children were killed by the Russians, more than 18,000 Gazan children were killed by Israel.",negative,negative,negative
SMILING REALLY?,positive,positive,positive
Christians also believe in Moses lol what's not to believe?,positive,positive,positive
"Please T Zon amigo non, I am begging you please 🙏🏻 I work for free, I can cook tacos to you for freeee, please 🙏🏻",positive,positive,positive
ok* heres FACTS... REAL MEN keep their tool STD FREE,positive,positive,positive
"Judge’s order: “not embarking anyone on the plane” & the word “embarking” means to place onto a craft. As such, when arrived at the port of disembarkation (el Salvador) the passengers were debarked.",neutral,neutral,neutral
Danilo is pro Elon project,neutral,neutral,neutral
"LaWee, a lot of you guys don't have much mind to use. Canada thinking they're gonna win against U.S.A.....really? do you honestly think that? we dont have to buy from you. if we don't, you sink.",positive,positive,positive
woman tickle makes me sleep and pas gas makes me sad,negative,negative,negative
Yedidyah just summed it up and yet stupidity run blindly into the fire.,negative,negative,negative
Actually Christians believe in both Moses and Christ... Moses lead the Jews out of Egyptian Slavery...,negative,neutral,negative
I donna know ehat its like,positive,neutral,positive
"self defense and protecting others is honorable , it's common sense so no need to even mention it",positive,negative,negative
@Juggernaut I’m coming it’s really hot I’m about to bring the ICE,neutral,positive,positive
They were in international airspace. It is moot,neutral,neutral,neutral
"real facts, everyone has dormant std's... you silly lil squim...",neutral,negative,negative
Fox around and find out !,neutral,neutral,neutral
Danilo deep down is pro Elon Musk project.,neutral,neutral,neutral
Take a mint lozenge,neutral,neutral,neutral
"I learnt saying hout...hout...hout, when playing foot ball.",positive,neutral,positive
SLAYER!,neutral,neutral,neutral
LOLI! Hahahah I love that,positive,positive,positive
"@Sir Guy Lot of barking going on, going on...",neutral,neutral,neutral
🐣🐤🐥 THANK YOU MISTER TRUMP,positive,neutral,positive
Turn on Slo Moe Chat please,positive,neutral,positive
screw that 1 judge who wants his 15 minutes of fame,positive,positive,positive
@David Calvelage 😎🫡,positive,neutral,positive
I used to be a fox.,neutral,neutral,neutral
romeo yet Gaza keeps trying to kill Israeli. rockets never halted. they started war. Gaza is a terrorist base w their families. like taqqa,negative,negative,negative
S n P 500 up or down,neutral,neutral,neutral
nothing I like to say that.,negative,neutral,negative
Please lolidoom amigo non,positive,neutral,positive
Don't believe everything from Breitbart,neutral,neutral,neutral
Trump concerns about Ukrainians dying but he can't say its Russia fault people dying or Russia did the attack while trump allow Houthis to be killed for holding up ships in red sea,negative,negative,negative
Nancy is pro russia uniting with north korea and other countries,neutral,neutral,neutral
☘️ Love America from Dublin!! 🇺🇸💚🇮🇪,positive,positive,positive
Moses was a warrior and fought against Ramses II.,negative,neutral,negative
Trump is the biggest disaster in the 21 age,negative,neutral,negative
STAGED CALL,neutral,neutral,neutral
MYOB @MYOB MYOB huh huh huh,neutral,neutral,neutral
They don't talk about the Truman because it's embarrassing,negative,neutral,negative
stocks are up today but DOW is an antiquated index,neutral,neutral,neutral
BOEING IN THE CHAT😑,neutral,neutral,neutral
Hooties and the blow ups,neutral,neutral,neutral
THANKS JAMES! Love DUBLIN!,positive,positive,positive
dicktator trump bribed ukraine twice tried to extort them out of their natural resources and is now selling them out to russia these trump lackeys are lying,negative,positive,negative
WTF Fox,negative,negative,negative
🃏🗯️,negative,neutral,negative
"MY PRESIDENT, WOO-HOO!!!",positive,neutral,positive
Libe desi you nothing Moses didnt fight Ramses,negative,neutral,negative
@Juggernaut you gotta go back,neutral,neutral,neutral
"crude short, natgas short, gold short, all short,, don't book profit early..add more short in natgas as it's near to break 3.94 monthyl support",negative,negative,negative
Can the select committee on Kamala also fix egg prices,neutral,neutral,neutral
"Por favor amigos, don’t call ice on me 🙏🏻",positive,neutral,positive
Canada woke up thinking they're USA. lol nope. get ready for fair treatment on April 2nd.,positive,positive,positive
you will be caught juggernaut,neutral,neutral,neutral
hello everyone,neutral,neutral,neutral
"houtis go boom boom, IRAN go boom boom",neutral,neutral,neutral
this dude is everywhere who is he?,neutral,neutral,neutral
We are taking over the arts,neutral,neutral,neutral
MONSTER,neutral,neutral,neutral
look how busy the government is implementing the will of the people,neutral,positive,positive
What becomes of civilization without international justice?,negative,neutral,negative
That's my President 💯,neutral,neutral,neutral
lol marcel facts,positive,positive,positive
boycott boeing harley d jack d tesla starlink,negative,neutral,negative
blumpph the terrorist../ :face-orange-frowning:,negative,neutral,negative
Please lolidoom I can cook nachos to you for free 🙏🏻,positive,positive,positive
Read the rest of the Bible,neutral,neutral,neutral
He looks sun tanned today !!!!,neutral,neutral,neutral
yo wait,neutral,neutral,neutral
NUKE IRAN 2025,neutral,neutral,neutral
How about the tornado states,neutral,neutral,neutral
for SAINT PATTIES DAY🍀🍀🍀🍀🍀TODAYS MENU> fried chicken mashed potatoes & green salad & cold ice tea,neutral,negative,negative
Ebrah'im & Moses & Jesus Christ = Muslim 👈🎦,neutral,neutral,neutral
"Ramses II used to live in a palace and Moses , who was the powerful man compared to Jesus Christ used to live in a small house....But Moses weakened Ramses II's kingdom.",positive,positive,positive
"just like biden, also trump loves money, he a money junkie../ :face-green-smiling:",positive,neutral,positive
The leader of the free world is speaking shut up,positive,positive,positive
Kennedy ctr is completely WOKE,neutral,positive,positive
The Bible says Caucasians are going in slavery,negative,neutral,negative
Trump got a hole in one yesterday 😳,neutral,neutral,neutral
why are we getting the bums rush lately?,neutral,negative,negative
Highly Suspect,negative,positive,negative
WTF is FOX CAMERA PERSON DOING 🤨🤬🤨🤬🤨🤬🤨,negative,negative,negative
Boycott Tesla x xai neuralink SpaceX starlink x rip telsa boycott Amazon Facebook Instagram Microsoft Google Apple black rock van guard thiel cryptocurrency,negative,negative,negative
he got locked off... cursed be usa :card-red-penalty::face-green-smiling:,neutral,neutral,neutral
juggernaut stop asking a man go to Dear Jesus Jesus loves you Jesus died for our sins Jesus will help you,positive,neutral,positive
:face-fuchsia-tongue-out:,neutral,neutral,neutral
kennedy center to honor hulk hogan,positive,negative,negative
My name is human,neutral,neutral,neutral
"Should've treated Trump better, FOX!😛",positive,positive,positive
"@Romeo CHARLIE The United Nations is an attempt for countries to communicate and work toward justice. It has never worked, but we keep trying. Tower of Babel.",positive,neutral,positive
Muchos nachos con avocados and mucho pepper🌶️,neutral,neutral,neutral
kishaaron are you bhi?,neutral,neutral,neutral
so🎬 where are you aheading 🎥👈🎦,neutral,neutral,neutral
"Yeah, I'm gonna eat dinner lol",positive,positive,positive
WE'RE TAKING BACK OUR FREEDOM,positive,neutral,positive
The cameraman left us,neutral,neutral,neutral
"Testing 1-2-3... Yemen dust bowl, Next event",neutral,neutral,neutral
Thanks fox news for hosting! It's not easy nor cheap to operate a media company.,positive,positive,positive
🤖 humans are over rated trash../ :card-red-penalty:,neutral,neutral,neutral
I HAD A HULK HOGAN MY BUDDY PILLOW I USED TO HUMP,neutral,neutral,neutral
❤️sorry🖤 🟦,positive,negative,negative
no free world with trump everything is chaotic and he is stealing grandma grandpa social security and healthcare,negative,positive,negative
AL MISS OK GA TX have questions,positive,positive,positive
Heavenly father Jesus and holy spirit are of love love pure love,positive,positive,positive
Read the book DISLOYAL,neutral,neutral,neutral
Fox cougar lion death,negative,neutral,negative
Democrat food gave beavis diarhea huh huh huhh,neutral,neutral,neutral
will iran use nukes to make countries hostages to it's demands,neutral,neutral,neutral
the left rigged the live,negative,positive,negative
"Ukraine is gonna have to choose if they want to lose some territory now and have less death, or if they want much more death later just to lose more territory as well. Ukraine needs to accept asap.",negative,positive,negative
they'll just be getting started and suddenly the camera gets up and walks away,neutral,neutral,neutral
Yeah romeo charlie this is a kind of gettin worrysome I think something happened,positive,positive,positive
Trololol,neutral,neutral,neutral
nixxa😭,negative,neutral,negative
"Haha you wish, 😉",positive,positive,positive
show us what we care about??,positive,neutral,positive
I think the guy with the camera had a stroke or something,neutral,neutral,neutral
SHES OVERBORD,neutral,neutral,neutral
I also believe in Moses..,neutral,neutral,neutral
cyr get off my citizens tit. big guy. audit it all. cut the fraud,negative,neutral,negative
we dont get happy on others suffering,negative,positive,negative
I had a hulk kogan wrestling doll as well I never did hump it though,positive,neutral,positive
"Lolidoom I have like 10 chickens in my backyard, I can give you my eggs if you don’t deport me 🙏🏻",positive,neutral,positive
"@Juggernaut Yes, lots of guacamole with peppers!",positive,neutral,positive
No I think something happened and they told asked the president to leave maybe,negative,neutral,negative
Arrest Fauci is pardon is Void,neutral,negative,negative
so 🎬 who is this👹🕎🇮🇱🏳️‍🌈👹🎥😈⛓️👈🎦,positive,neutral,positive
Yedidyah hell yeah,negative,neutral,negative
News cant handle more than one thing at a time stay on topic explain in detail before going ADD on us,neutral,neutral,neutral
I'm not a bot,neutral,neutral,neutral
You can't believe in Jesus Christ if you don't believe Moses that is impossible,neutral,negative,negative
@Juggernaut I don’t like eggs or chicken,negative,negative,negative
y'all Happy St. Patrick's Day☘️,positive,positive,positive
why the long face,neutral,negative,negative
Is it just me or do all the democrat women look like houtis? huh huh,positive,neutral,positive
juggernaut or we can move in and eat eggs when you're back home 🤪,neutral,neutral,neutral
@Live Desi Style Reaction Santa Claus exists,neutral,neutral,neutral
who is st. patrick ?,neutral,neutral,neutral
an e-cig 🚹,neutral,neutral,neutral
Yes something happened,positive,neutral,positive
SEE!!! YA!! FOX!! 🤨🤬🤨🖐🤨🤬🖐🤨🤬🖐🤨🤬🖐🤨🤬,positive,neutral,positive
fox your not american any more,neutral,neutral,neutral
Stay on one subject,neutral,negative,negative
I'll drive your truck jauggernaut. filled with tools,negative,negative,negative
@Juggernaut Nope! You're out of here! 📤 No more backs that are wet. :-),negative,negative,negative
@BUTTHEAD,neutral,neutral,neutral
Fire & Forget,negative,neutral,negative
he drove the snakes out of Ireland with his whacking stick,neutral,neutral,neutral
hi guys :),neutral,neutral,neutral
Where's the lucky charms patrick?,positive,positive,positive
A fat starfish,neutral,neutral,neutral
EYE DOMINTE THE ENDZONE,neutral,neutral,neutral
"Lolidoom I work for free then, I can do whatever u want, you can sleep all day as I work and I give you the money 🙏🏻",positive,positive,positive
"Trump is a King B, he's cool IMO",positive,positive,positive
F*CKS NEWS,neutral,neutral,neutral
Houtthi & the Blowfish,neutral,neutral,neutral
Sorry!!!,negative,negative,negative
Engineers are here to work together,neutral,neutral,neutral
"I guess the world got confused by thinking the loudest voices in USA were also the majority. Nope, it's the majority of our country's people gets to have their say and we want fairness finally.",negative,negative,negative
Magats are cool,positive,positive,positive
dibs on jauggernauts truck,neutral,neutral,neutral
"many people gave their own relatives c19 , but none will admit it , they blame their neighbors",negative,positive,negative
we know about moses joseph and jacob and joshua and in psalm all saw Heavenly father would send his Son Jesus our lord and Saviour our Messiah,positive,neutral,positive
MIlley s/b tried for treason,negative,neutral,negative
well yall invaded the wrong country after 911 that didnt help duh,negative,negative,negative
HOOTERS > HOUTHIS,neutral,neutral,neutral
Trump has set the precedent to be president,neutral,neutral,neutral
Beastiality paedophilia homosexuality all in America bc Jewish masters push it and us govt do it why can't we find them Mexicans trafficked yet trump,neutral,neutral,neutral
ENGINEERING IS MY DREAM,positive,neutral,positive
anybody ever find it odd we teamed up with communists in WW2?,negative,negative,negative
interesting that the media was removed,positive,positive,positive
"Israel first, America last",neutral,positive,positive
Nothing will come of that pentagon man sadly.,negative,negative,negative
:whistle-red-blow: not playing../ :stopwatch-blue-hand-timer: we all get reborn on earth as it is hell../ :card-red-penalty:,negative,neutral,negative
"""Everything is under control."" Leslie Nielsen",neutral,neutral,neutral
Dumb reporter lol.,negative,positive,negative
bleeding heart dem reporter,positive,neutral,positive
gg ven's,positive,neutral,positive
how,neutral,neutral,neutral
WAIT HOW ARE YOU ENDING WARS BY FUNDING ISRAEL WITH MORE WARFARE AND DOING IT WITH OUR TAX DOLLARS,negative,neutral,negative
Ukraine this Ukraine THAT!,neutral,neutral,neutral
Campaign Houthis ?,neutral,neutral,neutral
TOMMY SHELBY,neutral,neutral,neutral
@Juggernaut No! All invders must leave! You're out of here! :-),negative,neutral,negative
I prefer HOOTERS<houtis @PeekaPeep,neutral,neutral,neutral
"Yes, I am serious and don’t call me Shirley",positive,negative,negative
literally it's like the 80s again,positive,neutral,positive
"Christian women used to fool their kids ,saying that Santa would come and bring them gifts so Kids used to not harass their mothers. So don't believe in Santa claus ..",negative,neutral,negative
If you are a enemy of my enemy....then i am your friend...,negative,neutral,negative
